Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",10001,81540,68487,220,42086,99.6,162,.4,42248,61.7,"McDonald, Ken Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity",10002,76704,62462,260,35092,99.5,173,.5,35265,56.5,"Foote, Judy M. Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame",10003,78092,64226,233,35448,99.6,145,.4,35593,55.4,"Simms, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",10004,26728,20045,84,12373,99.6,53,.4,12426,62,"Jones, Yvonne Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains",10005,87592,71918,253,41824,99.7,108,.3,41932,58.3,"Hutchings, Gudie Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est",10006,81936,66304,186,44880,99.8,111,.2,44991,67.9,"Whalen, Nick Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl",10007,81944,67596,185,44801,99.7,133,.3,44934,66.5,"O'Regan, Seamus Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",11001,36005,28889,90,22485,99.6,96,.4,22581,78.2,"MacAulay, Lawrence Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",11002,34562,28129,82,21165,99.5,99,.5,21264,75.6,"Casey, Sean Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",11003,34598,27858,86,21362,99.6,87,.4,21449,77,"Morrissey, Bobby Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",11004,35039,28629,81,22472,99.5,102,.5,22574,78.9,"Easter, Wayne Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso",12001,75247,60785,218,43237,99.4,274,.6,43511,71.6,"Cuzner, Rodger Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",12002,74597,60594,224,44263,99.5,233,.5,44496,73.4,"Fraser, Sean Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester",12003,82321,65461,218,46332,99.6,178,.4,46510,71,"Casey, Bill Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",12004,91212,73710,200,52270,99.6,201,.4,52471,71.2,"Fisher, Darren Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax",12005,92643,73379,208,53032,99.5,259,.5,53291,72.6,"Fillmore, Andy Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",12006,87275,70515,238,50079,99.6,181,.4,50260,71.3,"Regan, Geoff Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",12007,83306,67213,218,46686,99.6,202,.4,46888,69.8,"Brison, Scott Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook",12008,85583,68040,196,48301,99.6,180,.4,48481,71.3,"Samson, Darrell Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets",12009,92561,76181,253,52775,99.6,226,.4,53001,69.6,"Jordan, Bernadette Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria",12010,73328,59994,202,40974,99.4,236,.6,41210,68.7,"Eyking, Mark Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest",12011,83654,67059,227,45679,99.4,271,.6,45950,68.5,"Fraser, Colin Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst",13001,79340,66799,237,50963,99.3,336,.7,51299,76.8,"Cormier, Serge Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Beauséjour",13002,80416,66891,215,52936,99.4,320,.6,53256,79.6,"LeBlanc, Dominic Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fredericton",13003,81759,61947,168,46722,99.6,188,.4,46910,75.7,"DeCourcey, Matt Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fundy Royal",13004,79331,63089,193,46820,99.5,241,.5,47061,74.6,"Lockhart, Alaina Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche",13005,62540,50907,171,37306,99.1,348,.9,37654,74,"Arseneault, René Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Miramichi--Grand Lake",13006,59343,48331,160,36364,99.3,256,.7,36620,75.8,"Finnigan, Pat Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe",13007,89484,71982,192,52041,99.4,311,.6,52352,72.7,"Petitpas Taylor, Ginette Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",13008,66197,51729,180,37926,99.4,220,.6,38146,73.7,"Ludwig, Karen Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Saint John--Rothesay",13009,82129,61722,176,42281,99.5,205,.5,42486,68.8,"Long, Wayne Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac",13010,70632,54145,184,38427,99.4,248,.6,38675,71.4,"Harvey, TJ Liberal/Libéral"
"Quebec/Québec","Abitibi--Baie-James--Nunavik--Eeyou",24001,85475,63632,191,34518,98.3,609,1.7,35127,55.2,"Saganash, Romeo NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Abitibi--Témiscamingue",24002,102794,82968,272,49729,98.5,741,1.5,50470,60.8,"Moore, Christine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Ahuntsic-Cartierville",24003,110473,83208,223,55567,98.9,630,1.1,56197,67.5,"Joly, Mélanie Liberal/Libéral"
"Quebec/Québec","Alfred-Pellan",24004,98045,78524,207,55169,98.8,679,1.2,55848,71.1,"Iacono, Angelo Liberal/Libéral"
"Quebec/Québec","Argenteuil--La Petite-Nation",24005,94208,78836,245,51066,98.8,601,1.2,51667,65.5,"Lauzon, Stéphane Liberal/Libéral"
"Quebec/Québec","Avignon--La Mitis--Matane--Matapédia",24006,74547,60890,215,36356,98.9,416,1.1,36772,60.4,"Massé, Rémi Liberal/Libéral"
"Quebec/Québec","Beauce",24007,106337,85698,263,55882,98.7,712,1.3,56594,66,"Bernier, Maxime Conservative/Conservateur"
"Quebec/Québec","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix",24020,92496,76528,230,50456,98.4,846,1.6,51302,67,"Boucher, Sylvie Conservative/Conservateur"
"Quebec/Québec","Beauport--Limoilou",24008,92944,78799,220,50558,98.2,941,1.8,51499,65.4,"Clarke, Alupa Conservative/Conservateur"
"Quebec/Québec","Bécancour--Nicolet--Saurel",24009,93779,78734,231,52205,98.2,958,1.8,53163,67.5,"Plamondon, Louis Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Bellechasse--Les Etchemins--Lévis",24010,112385,92719,277,62598,98.7,824,1.3,63422,68.4,"Blaney, Steven Conservative/Conservateur"
"Quebec/Québec","Beloeil--Chambly",24011,109955,91204,260,66438,98.6,950,1.4,67388,73.9,"Dubé, Matthew NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Berthier--Maskinongé",24012,98590,82996,267,54406,98.5,844,1.5,55250,66.6,"Brosseau, Ruth Ellen NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Bourassa",24015,100286,71070,184,41129,98,859,2,41988,59.1,"Dubourg, Emmanuel Liberal/Libéral"
"Quebec/Québec","Brome--Missisquoi",24016,98616,85118,255,58675,98.8,716,1.2,59391,69.8,"Paradis, Denis Liberal/Libéral"
"Quebec/Québec","Brossard--Saint-Lambert",24017,100828,83766,215,57260,99.1,549,.9,57809,69,"Mendès, Alexandra Liberal/Libéral"
"Quebec/Québec","Charlesbourg--Haute-Saint-Charles",24019,103331,84830,228,58256,98.5,866,1.5,59122,69.7,"Paul-Hus, Pierre Conservative/Conservateur"
"Quebec/Québec","Châteauguay--Lacolle",24021,92169,76129,213,51782,98.3,909,1.7,52691,69.2,"Shanahan, Brenda Liberal/Libéral"
"Quebec/Québec","Chicoutimi--Le Fjord",24022,81501,66821,186,43805,98.3,745,1.7,44550,66.7,"Lemieux, Denis Liberal/Libéral"
"Quebec/Québec","Compton--Stanstead",24023,101946,82237,244,55811,98.7,748,1.3,56559,68.8,"Bibeau, Marie-Claude Liberal/Libéral"
"Quebec/Québec","Dorval--Lachine--LaSalle",24024,106886,85769,225,54605,98.9,593,1.1,55198,64.4,"Dhillon, Anju Liberal/Libéral"
"Quebec/Québec","Drummond",24025,98681,81455,229,51979,97.9,1098,2.1,53077,65.2,"Choquette, François NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Gaspésie--Les Îles-de-la-Madeleine",24026,78833,65783,212,39617,99,395,1,40012,60.8,"Lebouthillier, Diane Liberal/Libéral"
"Quebec/Québec","Gatineau",24027,106424,84377,226,57800,99.1,522,.9,58322,69.1,"MacKinnon, Steven Liberal/Libéral"
"Quebec/Québec","Hochelaga",24028,103436,83088,232,51904,98.3,877,1.7,52781,63.5,"Boutin-Sweet, Marjolaine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Honoré-Mercier",24029,102587,79033,211,51658,98.7,682,1.3,52340,66.2,"Rodriguez, Pablo Liberal/Libéral"
"Quebec/Québec","Hull--Aylmer",24030,103447,79329,218,55440,99.3,391,.7,55831,70.4,"Fergus, Greg Liberal/Libéral"
"Quebec/Québec","Joliette",24031,100683,86287,272,56689,98.1,1109,1.9,57798,67,"Ste-Marie, Gabriel Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Jonquière",24032,87596,73099,219,48103,98.2,899,1.8,49002,67,"Trudel, Karine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","La Pointe-de-l'Île",24033,103512,84769,236,55226,98.4,912,1.6,56138,66.2,"Beaulieu, Mario Bloc Québécois/Bloc Québécois"
"Quebec/Québec","La Prairie",24034,99811,82472,212,57572,98.3,996,1.7,58568,71,"Poissant, Jean-Claude Liberal/Libéral"
"Quebec/Québec","Lac-Saint-Jean",24035,105783,85445,260,55279,98.4,925,1.6,56204,65.8,"Lebel, Denis Conservative/Conservateur"
"Quebec/Québec","Lac-Saint-Louis",24036,108795,85870,232,62312,99.5,321,.5,62633,72.9,"Scarpaleggia, Francis Liberal/Libéral"
"Quebec/Québec","LaSalle--Émard--Verdun",24037,105317,84192,225,53763,98.5,823,1.5,54586,64.8,"Lametti, David Liberal/Libéral"
"Quebec/Québec","Laurentides--Labelle",24038,111357,96848,302,63173,98.4,1030,1.6,64203,66.3,"Graham, David Liberal/Libéral"
"Quebec/Québec","Laurier--Sainte-Marie",24039,107034,85056,228,54681,98.9,594,1.1,55275,65,"Laverdière, Hélène NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Laval--Les Îles",24040,103053,82438,216,54205,98.8,683,1.2,54888,66.6,"El-Khoury, Fayçal Liberal/Libéral"
"Quebec/Québec","Lévis--Lotbinière",24042,107593,87339,251,62588,98.5,975,1.5,63563,72.8,"Gourde, Jacques Conservative/Conservateur"
"Quebec/Québec","Longueuil--Charles-LeMoyne",24041,104895,83844,222,51707,98.2,925,1.8,52632,62.8,"Romanado, Sherry Liberal/Libéral"
"Quebec/Québec","Longueuil--Saint-Hubert",24043,104366,85972,227,58199,98.4,939,1.6,59138,68.8,"Nantel, Pierre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Louis-Hébert",24044,104038,81376,230,61744,99,627,1,62371,76.6,"Lightbound, Joël Liberal/Libéral"
"Quebec/Québec","Louis-Saint-Laurent",24045,106888,92372,249,64683,98.7,852,1.3,65535,70.9,"Deltell, Gérard Conservative/Conservateur"
"Quebec/Québec","Manicouagan",24046,94766,75229,239,42030,98.5,645,1.5,42675,56.7,"Gill, Marilène Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Marc-Aurèle-Fortin",24065,96082,76396,199,54525,98.6,769,1.4,55294,72.4,"Robillard, Yves Liberal/Libéral"
"Quebec/Québec","Mégantic--L'Érable",24047,88745,71653,231,47287,98,941,2,48228,67.3,"Berthold, Luc Conservative/Conservateur"
"Quebec/Québec","Mirabel",24048,103536,87938,230,59418,98.1,1178,1.9,60596,68.9,"Marcil, Simon Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Montarville",24049,95095,75693,200,57917,98.5,881,1.5,58798,77.7,"Picard, Michel Liberal/Libéral"
"Quebec/Québec","Montcalm",24050,99518,83808,230,53009,97.7,1226,2.3,54235,64.7,"Thériault, Luc Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",24051,97261,78672,266,49243,98.4,777,1.6,50020,63.6,"Généreux, Bernard Conservative/Conservateur"
"Quebec/Québec","Mount Royal/Mont-Royal",24052,101258,74416,205,48051,99.1,425,.9,48476,65.1,"Housefather, Anthony Liberal/Libéral"
"Quebec/Québec","Notre-Dame-de-Grâce--Westmount",24053,104410,79832,211,51593,99.4,311,.6,51904,65,"Garneau, Marc Liberal/Libéral"
"Quebec/Québec","Outremont",24054,100916,71136,192,43619,99,426,1,44045,61.9,"Mulcair, Tom NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Papineau",24055,108977,79136,213,50770,98.6,698,1.4,51468,65,"Trudeau, Justin Liberal/Libéral"
"Quebec/Québec","Pierre-Boucher--Les Patriotes--Verchères",24014,95326,78855,226,59390,98.7,800,1.3,60190,76.3,"Barsalou-Duval, Xavier Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Pierrefonds--Dollard",24056,108740,85333,222,58505,99.4,368,.6,58873,69,"Baylis, Frank Liberal/Libéral"
"Quebec/Québec","Pontiac",24057,106499,87922,277,62625,99.3,467,.7,63092,71.8,"Amos, William Liberal/Libéral"
"Quebec/Québec","Portneuf--Jacques-Cartier",24058,104394,88337,258,62059,98.8,781,1.2,62840,71.1,"Godin, Joël Conservative/Conservateur"
"Quebec/Québec","Québec",24059,96525,79593,229,53867,98.5,820,1.5,54687,68.7,"Duclos, Jean-Yves Liberal/Libéral"
"Quebec/Québec","Repentigny",24060,111191,92117,252,65211,98.2,1179,1.8,66390,72.1,"Pauzé, Monique Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Richmond--Arthabaska",24061,103897,85894,263,58617,98.5,912,1.5,59529,69.3,"Rayes, Alain Conservative/Conservateur"
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques",24018,84809,70182,220,44946,98.9,493,1.1,45439,64.7,"Caron, Guy NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Rivière-des-Mille-Îles",24062,102816,81528,214,58046,98.4,927,1.6,58973,72.3,"Lapointe, Linda Liberal/Libéral"
"Quebec/Québec","Rivière-du-Nord",24063,102085,89667,242,56657,98.2,1044,1.8,57701,64.4,"Fortin, Rhéal Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Rosemont--La Petite-Patrie",24064,106293,84884,239,58335,98.7,788,1.3,59123,69.7,"Boulerice, Alexandre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Hyacinthe--Bagot",24066,99629,81016,243,54369,97.8,1214,2.2,55583,68.6,"Sansoucy, Brigitte NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Jean",24067,108244,88519,245,60386,98,1231,2,61617,69.6,"Rioux, Jean Liberal/Libéral"
"Quebec/Québec","Saint-Laurent",24068,93842,69138,179,40330,99,409,1,40739,58.9,"Dion, Stéphane Liberal/Libéral"
"Quebec/Québec","Saint-Léonard--Saint-Michel",24069,110649,76746,205,44531,98.5,689,1.5,45220,58.9,"Di Iorio, Nicola Liberal/Libéral"
"Quebec/Québec","Saint-Maurice--Champlain",24070,110273,92352,272,58947,98,1175,2,60122,65.1,"Champagne, François-Philippe Liberal/Libéral"
"Quebec/Québec","Salaberry--Suroît",24071,107036,92604,269,61535,98.4,998,1.6,62533,67.5,"Quach, Anne Minh-Thu NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Shefford",24072,107538,88533,267,58920,97.8,1299,2.2,60219,68,"Breton, Pierre Liberal/Libéral"
"Quebec/Québec","Sherbrooke",24073,107988,87658,248,57300,98.6,796,1.4,58096,66.3,"Dusseault, Pierre-Luc NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Terrebonne",24075,106322,84502,209,58284,97.9,1256,2.1,59540,70.5,"Boudrias, Michel Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Thérèse-De Blainville",24013,98499,79440,216,56248,98.2,1007,1.8,57255,72.1,"Ayoub, Ramez Liberal/Libéral"
"Quebec/Québec","Trois-Rivières",24076,108774,91098,261,60289,98.5,940,1.5,61229,67.2,"Aubin, Robert NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Vaudreuil--Soulanges",24074,111905,90804,251,65528,98.9,714,1.1,66242,73,"Schiefke, Peter Liberal/Libéral"
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",24077,103070,85702,238,50164,99.1,435,.9,50599,59,"Miller, Marc Liberal/Libéral"
"Quebec/Québec","Vimy",24078,104373,86225,232,54343,98.3,941,1.7,55284,64.1,"Nassif, Eva Liberal/Libéral"
"Ontario","Ajax",35001,109600,85251,210,56307,99.6,206,.4,56513,66.3,"Holland, Mark Liberal/Libéral"
"Ontario","Algoma--Manitoulin--Kapuskasing",35002,79801,63253,211,41374,99.6,161,.4,41535,65.7,"Hughes, Carol NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Aurora--Oak Ridges--Richmond Hill",35003,106064,79127,204,50980,99.6,204,.4,51184,64.7,"Alleslev, Leona Liberal/Libéral"
"Ontario","Barrie--Innisfil",35004,101584,77320,201,49341,99.6,187,.4,49528,64.1,"Brassard, John Conservative/Conservateur"
"Ontario","Barrie--Springwater--Oro-Medonte",35005,97876,76084,217,50535,99.6,181,.4,50716,66.7,"Nuttall, Alex Conservative/Conservateur"
"Ontario","Bay of Quinte/Baie de Quinte",35006,109488,85021,239,57713,99.6,211,.4,57924,68.1,"Ellis, Neil Liberal/Libéral"
"Ontario","Beaches--East York",35007,107084,77440,194,55530,99.6,216,.4,55746,72,"Erskine-Smith, Nathaniel Liberal/Libéral"
"Ontario","Brampton Centre/Brampton-Centre",35008,103122,65460,181,39632,99.3,264,.7,39896,60.9,"Sangha, Ramesh Liberal/Libéral"
"Ontario","Brampton East/Brampton-Est",35009,99712,69251,179,45206,99.3,304,.7,45510,65.7,"Grewal, Raj Liberal/Libéral"
"Ontario","Brampton North/Brampton-Nord",35010,111951,74148,187,48166,99.3,318,.7,48484,65.4,"Sahota, Ruby Liberal/Libéral"
"Ontario","Brampton South/Brampton-Sud",35011,107364,73019,193,45464,99.4,270,.6,45734,62.6,"Sidhu, Sonia Liberal/Libéral"
"Ontario","Brampton West/Brampton-Ouest",35012,101762,71990,173,43398,99.4,245,.6,43643,60.6,"Khera, Kamal Liberal/Libéral"
"Ontario","Brantford--Brant",35013,132443,97409,259,63272,99.6,272,.4,63544,65.2,"McColeman, Phil Conservative/Conservateur"
"Ontario","Bruce--Grey--Owen Sound",35014,106475,82607,249,56333,99.6,212,.4,56545,68.5,"Miller, Larry Conservative/Conservateur"
"Ontario","Burlington",35015,120569,96126,269,70100,99.6,263,.4,70363,73.2,"Gould, Karina Liberal/Libéral"
"Ontario","Cambridge",35016,111693,83514,234,53339,99.6,227,.4,53566,64.1,"May, Bryan Liberal/Libéral"
"Ontario","Carleton",35088,89522,74185,193,59239,99.7,196,.3,59435,80.1,"Poilievre, Pierre Conservative/Conservateur"
"Ontario","Chatham-Kent--Leamington",35017,111866,79755,263,51971,99.5,263,.5,52234,65.5,"Van Kesteren, Dave Conservative/Conservateur"
"Ontario","Davenport",35018,102360,74413,190,49584,99.4,287,.6,49871,67,"Dzerowicz, Julie Liberal/Libéral"
"Ontario","Don Valley East/Don Valley-Est",35019,93007,63547,174,41588,99.4,257,.6,41845,65.8,"Ratansi, Yasmin Liberal/Libéral"
"Ontario","Don Valley North/Don Valley-Nord",35020,103073,72787,210,45687,99.4,259,.6,45946,63.1,"Tan, Geng Liberal/Libéral"
"Ontario","Don Valley West/Don Valley-Ouest",35021,99820,71037,184,51086,99.6,217,.4,51303,72.2,"Oliphant, Rob Liberal/Libéral"
"Ontario","Dufferin--Caledon",35022,116341,92598,266,60451,99.6,232,.4,60683,65.5,"Tilson, David Allan Conservative/Conservateur"
"Ontario","Durham",35023,115395,94069,280,64185,99.6,233,.4,64418,68.5,"O'Toole, Erin Conservative/Conservateur"
"Ontario","Eglinton--Lawrence",35024,113150,78535,205,55792,99.4,328,.6,56120,71.5,"Mendicino, Marco Liberal/Libéral"
"Ontario","Elgin--Middlesex--London",35025,110109,83446,217,56933,99.6,230,.4,57163,68.5,"Vecchio, Karen Louise Conservative/Conservateur"
"Ontario","Essex",35026,120477,92489,233,60531,99.6,241,.4,60772,65.7,"Ramsey, Tracey NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Etobicoke Centre/Etobicoke-Centre",35027,114910,88440,231,61802,99.5,303,.5,62105,70.2,"Wrzesnewskyj, Borys Liberal/Libéral"
"Ontario","Etobicoke North/Etobicoke-Nord",35029,117601,69942,176,42064,99.4,257,.6,42321,60.5,"Duncan, Kirsty Liberal/Libéral"
"Ontario","Etobicoke--Lakeshore",35028,115437,93880,237,64508,99.5,307,.5,64815,69,"Maloney, James Liberal/Libéral"
"Ontario","Flamborough--Glanbrook",35030,97081,79397,213,55510,99.6,220,.4,55730,70.2,"Sweet, David Conservative/Conservateur"
"Ontario","Glengarry--Prescott--Russell",35031,106240,86010,260,64173,99.4,399,.6,64572,75.1,"Drouin, Francis Liberal/Libéral"
"Ontario","Guelph",35032,121688,98453,243,69868,99.6,298,.4,70166,71.3,"Longfield, Lloyd Liberal/Libéral"
"Ontario","Haldimand--Norfolk",35033,108051,83220,227,55990,99.4,312,.6,56302,67.7,"Finley, Diane Conservative/Conservateur"
"Ontario","Haliburton--Kawartha Lakes--Brock",35034,110182,91802,260,61834,99.7,203,.3,62037,67.6,"Schmale, Jamie Conservative/Conservateur"
"Ontario","Hamilton Centre/Hamilton-Centre",35035,101932,69598,198,41083,99.3,269,.7,41352,59.4,"Christopherson, David NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",35036,107786,80639,217,50332,99.4,293,.6,50625,62.8,"Bratina, Bob Liberal/Libéral"
"Ontario","Hamilton Mountain",35037,103615,77581,205,50554,99.4,307,.6,50861,65.6,"Duvall, Scott NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",35038,109535,86222,228,62279,99.6,272,.4,62551,72.5,"Tassi, Filomena Liberal/Libéral"
"Ontario","Hastings--Lennox and Addington",35039,92528,72972,219,49797,99.6,199,.4,49996,68.5,"Bossio, Mike Liberal/Libéral"
"Ontario","Humber River--Black Creek",35121,108198,62928,184,35859,99.1,333,.9,36192,57.5,"Sgro, Judy Liberal/Libéral"
"Ontario","Huron--Bruce",35040,104842,80731,244,58245,99.6,232,.4,58477,72.4,"Lobb, Ben Conservative/Conservateur"
"Ontario","Kanata--Carleton",35041,100846,80433,210,63323,99.7,191,.3,63514,79,"McCrimmon, Karen Liberal/Libéral"
"Ontario","Kenora",35042,55977,44306,152,30752,99.5,144,.5,30896,69.7,"Nault, Bob Liberal/Libéral"
"Ontario","King--Vaughan",35043,109235,86158,231,54686,99.5,290,.5,54976,63.8,"Schulte, Deb Liberal/Libéral"
"Ontario","Kingston and the Islands/Kingston et les Îles",35044,116996,93872,255,65772,99.6,242,.4,66014,70.3,"Gerretsen, Mark Liberal/Libéral"
"Ontario","Kitchener Centre/Kitchener-Centre",35045,102433,77887,214,52280,99.4,292,.6,52572,67.5,"Saini, Raj Liberal/Libéral"
"Ontario","Kitchener South--Hespeler/Kitchener-Sud--Hespeler",35047,97673,72953,193,47829,99.5,259,.5,48088,65.9,"Tabbara, Marwan Liberal/Libéral"
"Ontario","Kitchener--Conestoga",35046,93827,69166,213,47699,99.5,227,.5,47926,69.3,"Albrecht, Harold Conservative/Conservateur"
"Ontario","Lambton--Kent--Middlesex",35048,105919,81135,256,56363,99.6,224,.4,56587,69.7,"Shipley, Bev Conservative/Conservateur"
"Ontario","Lanark--Frontenac--Kingston",35049,98409,79461,231,57240,99.6,222,.4,57462,72.3,"Reid, Scott Conservative/Conservateur"
"Ontario","Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes",35050,99306,79669,236,56436,99.7,189,.3,56625,71.1,"Brown, Gord Conservative/Conservateur"
"Ontario","London North Centre/London-Centre-Nord",35052,118079,92950,242,64271,99.6,267,.4,64538,69.4,"Fragiskatos, Peter Liberal/Libéral"
"Ontario","London West/London-Ouest",35053,119090,93138,248,68027,99.6,286,.4,68313,73.3,"Young, Kate Liberal/Libéral"
"Ontario","London--Fanshawe",35051,119334,87298,233,54745,99.5,283,.5,55028,63,"Mathyssen, Irene NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Markham--Stouffville",35054,109780,87952,229,59773,99.7,189,.3,59962,68.2,"Philpott, Jane Liberal/Libéral"
"Ontario","Markham--Thornhill",35055,102221,70864,190,42857,99.4,240,.6,43097,60.8,"McCallum, John Liberal/Libéral"
"Ontario","Markham--Unionville",35056,104693,82965,228,49839,99.5,246,.5,50085,60.4,"Saroya, Bob Conservative/Conservateur"
"Ontario","Milton",35057,88065,72329,187,49308,99.6,210,.4,49518,68.5,"Raitt, Lisa Conservative/Conservateur"
